Request ID,Host,Endpoint,Parameter,Value,Source
REQ-0005,hook.curefit.co,Binary analytics event stream (path not exposed),sessionId,973fc4f4-6ae0-4b16-959a-a702c9bc8076-95d386c1-17e9-4792-b6f6-1244a9f6caf4,JSON_Payload
REQ-0006,hook.curefit.co,Binary analytics event stream (path not exposed),_id,2c547445-4c1c-42f9-a1da-b3e70b3d47d3-6b722641-4128-4bff-a61b-6bf10a134fca,JSON_Payload
REQ-0006,hook.curefit.co,Binary analytics event stream (path not exposed),eventId,2c547445-4c1c-42f9-a1da-b3e70b3d47d3-6b722641-4128-4bff-a61b-6bf10a134fca,JSON_Payload
REQ-0006,hook.curefit.co,Binary analytics event stream (path not exposed),userId,108206863,JSON_Payload
REQ-0006,hook.curefit.co,Binary analytics event stream (path not exposed),eventName,content_impression,JSON_Payload
REQ-0006,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_widgetName,Fitstart HP Explore Cultpass - Home,JSON_Payload
REQ-0006,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_scrollTrigger,auto,JSON_Payload
REQ-0006,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_isSampledWidgetImpressionRequired,False,JSON_Payload
REQ-0006,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_widgetId,e74974c2-5037-4b4c-9bf9-c63cb8edbbd7qw023ms,JSON_Payload
REQ-0006,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_contentId,2ltpd0gs2b,JSON_Payload
REQ-0006,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_cityId,Gurgaon,JSON_Payload
REQ-0006,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_sessionId,37bf15e3-82a2-b829-e798-1f08d47f282b,JSON_Payload
REQ-0006,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_platform,APP,JSON_Payload
REQ-0006,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_widgetType,BANNER_CAROUSEL_WIDGET,JSON_Payload
REQ-0006,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_advertiserId,9013994955fb2f93,JSON_Payload
REQ-0006,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_contentUrl,/image/vm/032e25d2-1554-4c0f-88d0-cb2d9fefc1aa.png,JSON_Payload
REQ-0006,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_cityName,Delhi NCR,JSON_Payload
REQ-0006,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_dedupeId,2mlwsnv4fp,JSON_Payload
REQ-0006,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_isWidgetImpressionRequired,True,JSON_Payload
REQ-0006,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_online,True,JSON_Payload
REQ-0006,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_isLoggedIn,False,JSON_Payload
REQ-0006,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_position,0,JSON_Payload
REQ-0006,hook.curefit.co,Binary analytics event stream (path not exposed),createdAt,1787569370286,JSON_Payload
REQ-0006,hook.curefit.co,Binary analytics event stream (path not exposed),sessionId,973fc4f4-6ae0-4b16-959a-a702c9bc8076-95d386c1-17e9-4792-b6f6-1244a9f6caf4,JSON_Payload
REQ-0007,hook.curefit.co,Binary analytics event stream (path not exposed),_id,bad2cb17-ae42-422f-aff7-1e11f60b7e70-22f70925-e8a8-4aed-b134-e06469c6d0c0,JSON_Payload
REQ-0007,hook.curefit.co,Binary analytics event stream (path not exposed),eventId,bad2cb17-ae42-422f-aff7-1e11f60b7e70-22f70925-e8a8-4aed-b134-e06469c6d0c0,JSON_Payload
REQ-0007,hook.curefit.co,Binary analytics event stream (path not exposed),userId,108206863,JSON_Payload
REQ-0007,hook.curefit.co,Binary analytics event stream (path not exposed),eventName,widget_impression,JSON_Payload
REQ-0007,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_widgetName,HP - 1:1 Coaching Grid,JSON_Payload
REQ-0007,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_isSampledWidgetImpressionRequired,False,JSON_Payload
REQ-0007,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_widgetId,e4dc2578-bc4a-43ff-a47f-8e03bc1b62ed,JSON_Payload
REQ-0007,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_sessionId,37bf15e3-82a2-b829-e798-1f08d47f282b,JSON_Payload
REQ-0007,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_cityId,Gurgaon,JSON_Payload
REQ-0007,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_eventType,view,JSON_Payload
